index,Country,iso3,Values,Year,Unit
6.1.1,AL,ALB,70.02315,2017,PERCENT
6.1.1,AD,AND,90.64,2017,PERCENT
6.1.1,AM,ARM,86.47635,2017,PERCENT
6.1.1,AS,ASM,12.57508,2017,PERCENT
6.1.1,AU,AUS,98.80065,2017,PERCENT
6.1.1,AT,AUT,98.9062,2017,PERCENT
6.1.1,AZ,AZE,73.56433,2017,PERCENT
6.1.1,BE,BEL,99.52319,2017,PERCENT
6.1.1,BD,BGD,44.61926,2017,PERCENT
6.1.1,BG,BGR,96.94594,2017,PERCENT
6.1.1,BH,BHR,98.98326,2017,PERCENT
6.1.1,BA,BIH,88.84189,2017,PERCENT
6.1.1,BY,BLR,94.52139,2017,PERCENT
6.1.1,BR,BRA,92.28043,2017,PERCENT
6.1.1,BT,BTN,48.91877,2017,PERCENT
6.1.1,BW,BWA,83.21967,2017,PERCENT
6.1.1,CA,CAN,98.86085,2017,PERCENT
6.1.1,CH,CHE,95.45541,2017,PERCENT
6.1.1,CL,CHL,98.61055,2017,PERCENT
6.1.1,CN,CHN,92.32618,2017,PERCENT
6.1.1,CI,CIV,17.70862,2017,PERCENT
6.1.1,CG,COG,58.6264,2017,PERCENT
6.1.1,CO,COL,81.29759,2017,PERCENT
6.1.1,CR,CRI,96.37304,2017,PERCENT
6.1.1,CY,CYP,99.61329,2017,PERCENT
6.1.1,CZ,CZE,97.88131,2017,PERCENT
6.1.1,DE,DEU,99.8,2017,PERCENT
6.1.1,DK,DNK,96.73467,2017,PERCENT
6.1.1,EC,ECU,57.89632,2017,PERCENT
6.1.1,ES,ESP,98.44149,2017,PERCENT
6.1.1,EE,EST,93.33299,2017,PERCENT
6.1.1,ET,ETH,4.56333,2017,PERCENT
6.1.1,FI,FIN,99.63313,2017,PERCENT
6.1.1,FR,FRA,97.85376,2017,PERCENT
6.1.1,GB,GBR,99.98878,2017,PERCENT
6.1.1,GE,GEO,79.99468,2017,PERCENT
6.1.1,GH,GHA,11.451,2017,PERCENT
6.1.1,GI,GIB,100,2017,PERCENT
6.1.1,GP,GLP,97.39775,2017,PERCENT
6.1.1,GM,GMB,68.26881,2017,PERCENT
6.1.1,GR,GRC,100,2017,PERCENT
6.1.1,GD,GRD,87.11527,2017,PERCENT
6.1.1,GL,GRL,96.74768,2017,PERCENT
6.1.1,GT,GTM,65.61035,2017,PERCENT
6.1.1,GF,GUF,90.78605,2017,PERCENT
6.1.1,GU,GUM,99.54117,2017,PERCENT
6.1.1,HK,HKG,100,2017,PERCENT
6.1.1,HN,HND,18.50632,2017,PERCENT
6.1.1,HR,HRV,89.95941,2017,PERCENT
6.1.1,HU,HUN,89.57276,2017,PERCENT
6.1.1,IM,IMN,97.20756,2017,PERCENT
6.1.1,IN,IND,55.99605,2017,PERCENT
6.1.1,IE,IRL,97.32282,2017,PERCENT
6.1.1,IR,IRN,94.92503,2017,PERCENT
6.1.1,IQ,IRQ,46.4601,2017,PERCENT
6.1.1,IS,ISL,100,2017,PERCENT
6.1.1,IL,ISR,99.19845,2017,PERCENT
6.1.1,IT,ITA,95.03961,2017,PERCENT
6.1.1,JO,JOR,93.81834,2017,PERCENT
6.1.1,JP,JPN,98.45371,2017,PERCENT
6.1.1,KZ,KAZ,89.51225,2017,PERCENT
6.1.1,KE,KEN,50.00946,2017,PERCENT
6.1.1,KG,KGZ,93.50849,2017,PERCENT
6.1.1,KH,KHM,16.67699,2017,PERCENT
6.1.1,KR,KOR,98.21386,2017,PERCENT
6.1.1,KW,KWT,100,2017,PERCENT
6.1.1,LA,LAO,10.7557,2017,PERCENT
6.1.1,LB,LBN,47.7,2017,PERCENT
6.1.1,LI,LIE,100,2017,PERCENT
6.1.1,LK,LKA,90.84818,2017,PERCENT
6.1.1,LT,LTU,92.04287,2017,PERCENT
6.1.1,LU,LUX,97.03095,2017,PERCENT
6.1.1,LV,LVA,95.19086,2017,PERCENT
6.1.1,MO,MAC,100,2017,PERCENT
6.1.1,MA,MAR,39.93395,2017,PERCENT
6.1.1,MC,MCO,100,2017,PERCENT
6.1.1,MD,MDA,72.87791,2017,PERCENT
6.1.1,MX,MEX,42.87031,2017,PERCENT
6.1.1,MK,MKD,89.94465,2017,PERCENT
6.1.1,MT,MLT,100,2017,PERCENT
6.1.1,ME,MNE,93.82857,2017,PERCENT
6.1.1,MN,MNG,23.72208,2017,PERCENT
6.1.1,MP,MNP,90.2433,2017,PERCENT
6.1.1,MQ,MTQ,98.86413,2017,PERCENT
6.1.1,NY,MYS,93.32928,2017,PERCENT
6.1.1,YT,MYT,83.71551,2017,PERCENT
6.1.1,NC,NCL,96.66085,2017,PERCENT
6.1.1,NG,NGA,24.64063,2017,PERCENT
6.1.1,NI,NIC,29.49799,2017,PERCENT
6.1.1,NU,NIU,97.21675,2017,PERCENT
6.1.1,NL,NLD,99.95101,2017,PERCENT
6.1.1,NO,NOR,98.34298,2017,PERCENT
6.1.1,NP,NPL,25.59455,2017,PERCENT
6.1.1,NZ,NZL,100,2017,PERCENT
6.1.1,OM,OMN,90.27504,2017,PERCENT
6.1.1,PK,PAK,39.99891,2017,PERCENT
6.1.1,PE,PER,20.75066,2017,PERCENT
6.1.1,PH,PHL,61.46776,2017,PERCENT
6.1.1,PL,POL,99.15607,2017,PERCENT
6.1.1,PR,PRI,94.08497,2017,PERCENT
6.1.1,KP,PRK,49.62002,2017,PERCENT
6.1.1,PT,PRT,95.31191,2017,PERCENT
6.1.1,PY,PRY,72.20648,2017,PERCENT
6.1.1,QA,QAT,96.18279,2017,PERCENT
6.1.1,RE,REU,96.17923,2017,PERCENT
6.1.1,RO,ROU,81.91581,2017,PERCENT
6.1.1,RU,RUS,76.02773,2017,PERCENT
6.1.1,RW,RWA,43.44904,2017,PERCENT
6.1.1,SG,SGP,100,2017,PERCENT
6.1.1,SH,SHN,89.18462,2017,PERCENT
6.1.1,SL,SLE,12.12264,2017,PERCENT
6.1.1,SV,SLV,77.28191,2017,PERCENT
6.1.1,SM,SMR,100,2017,PERCENT
6.1.1,PM,SPM,83.1283,2017,PERCENT
6.1.1,RS,SRB,81.31862,2017,PERCENT
6.1.1,SK,SVK,99.78773,2017,PERCENT
6.1.1,SI,SVN,98.05297,2017,PERCENT
6.1.1,SE,SWE,99.94,2017,PERCENT
6.1.1,SZ,SWZ,88.74977,2017,PERCENT
6.1.1,TJ,TJK,47.86705,2017,PERCENT
6.1.1,TM,TKM,90.72574,2017,PERCENT
6.1.1,TN,TUN,92.65752,2017,PERCENT
6.1.1,TV,TUV,49.79,2017,PERCENT
6.1.1,TZ,TZA,34.9632,2017,PERCENT
6.1.1,UG,UGA,7.0658,2017,PERCENT
6.1.1,UA,UKR,92.00686,2017,PERCENT
6.1.1,UY,URY,94.58874,2017,PERCENT
6.1.1,US,USA,99.00178,2017,PERCENT
6.1.1,UZ,UZB,31.08634,2017,PERCENT
6.1.1,VU,VUT,44.13033,2017,PERCENT
6.1.1,WS,WSM,58.82111,2017,PERCENT
6.1.1,ZA,ZAF,81.87901,2017,PERCENT
6.1.1,ZM,ZMB,46.24515,2017,PERCENT
