"","Indicator","SeriesCode","GeoAreaCode","GeoAreaName","TimePeriod","Value","Time_Detail","Source","FootNote","Nature","Units","Age","Location","Nature.1","Reporting.Type","Sex","Type.of.product","Units.1","NUM_id","ISO3CD","ISO2CD","ref.name"
"1","14.a.1","ER_RDE_OSEX",56,"Belgium",2013,"0.37","2013","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",20,"BEL","BE","Belgium"
"2","14.a.1","ER_RDE_OSEX",56,"Belgium",2014,"0.36","2014","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",20,"BEL","BE","Belgium"
"3","14.a.1","ER_RDE_OSEX",56,"Belgium",2015,"0.30","2015","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",20,"BEL","BE","Belgium"
"4","14.a.1","ER_RDE_OSEX",56,"Belgium",2016,"0.28","2016","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",20,"BEL","BE","Belgium"
"5","14.a.1","ER_RDE_OSEX",56,"Belgium",2017,"0.27","2017","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",20,"BEL","BE","Belgium"
"6","14.a.1","ER_RDE_OSEX",76,"Brazil",2013,"0.07","2013","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",33,"BRA","BR","Brazil"
"7","14.a.1","ER_RDE_OSEX",76,"Brazil",2014,"0.05","2014","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",33,"BRA","BR","Brazil"
"8","14.a.1","ER_RDE_OSEX",76,"Brazil",2015,"0.02","2015","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",33,"BRA","BR","Brazil"
"9","14.a.1","ER_RDE_OSEX",76,"Brazil",2016,"0.04","2016","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",33,"BRA","BR","Brazil"
"10","14.a.1","ER_RDE_OSEX",100,"Bulgaria",2013,"0.09","2013","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",25,"BGR","BG","Bulgaria"
"11","14.a.1","ER_RDE_OSEX",100,"Bulgaria",2014,"0.07","2014","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",25,"BGR","BG","Bulgaria"
"12","14.a.1","ER_RDE_OSEX",100,"Bulgaria",2015,"0.05","2015","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",25,"BGR","BG","Bulgaria"
"13","14.a.1","ER_RDE_OSEX",100,"Bulgaria",2016,"0.06","2016","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",25,"BGR","BG","Bulgaria"
"14","14.a.1","ER_RDE_OSEX",100,"Bulgaria",2017,"0.06","2017","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",25,"BGR","BG","Bulgaria"
