"","Indicator","SeriesCode","GeoAreaCode","GeoAreaName","TimePeriod","Value","Time_Detail","Source","FootNote","Nature","Units","Age","Location","Nature.1","Reporting.Type","Sex","Type.of.product","Units.1","NUM_id","ISO3CD","ISO2CD","ref.name"
"1","4.2.2","SE_PRE_PARTN",8,"Albania",2000,"54.07937","2000","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",6,"ALB","AL","Albania"
"2","4.2.2","SE_PRE_PARTN",8,"Albania",2001,"56.59373","2001","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",6,"ALB","AL","Albania"
"3","4.2.2","SE_PRE_PARTN",8,"Albania",2001,"52.66008","2001","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",6,"ALB","AL","Albania"
"4","4.2.2","SE_PRE_PARTN",8,"Albania",2001,"60.87087","2001","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",6,"ALB","AL","Albania"
"5","4.2.2","SE_PRE_PARTN",8,"Albania",2003,"66.38779","2003","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",6,"ALB","AL","Albania"
"6","4.2.2","SE_PRE_PARTN",8,"Albania",2003,"61.25696","2003","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",6,"ALB","AL","Albania"
"7","4.2.2","SE_PRE_PARTN",8,"Albania",2003,"63.70377","2003","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",6,"ALB","AL","Albania"
"8","4.2.2","SE_PRE_PARTN",8,"Albania",2004,"60.75647","2004","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",6,"ALB","AL","Albania"
"9","4.2.2","SE_PRE_PARTN",8,"Albania",2004,"59.49406","2004","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",6,"ALB","AL","Albania"
"10","4.2.2","SE_PRE_PARTN",8,"Albania",2004,"62.13843","2004","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",6,"ALB","AL","Albania"
"11","4.2.2","SE_PRE_PARTN",8,"Albania",2008,"65.32444","2008","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",6,"ALB","AL","Albania"
"12","4.2.2","SE_PRE_PARTN",8,"Albania",2008,"64.76811","2008","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",6,"ALB","AL","Albania"
"13","4.2.2","SE_PRE_PARTN",8,"Albania",2008,"65.03185","2008","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",6,"ALB","AL","Albania"
"14","4.2.2","SE_PRE_PARTN",8,"Albania",2009,"72.28605","2009","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",6,"ALB","AL","Albania"
"15","4.2.2","SE_PRE_PARTN",8,"Albania",2009,"71.20109","2009","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",6,"ALB","AL","Albania"
"16","4.2.2","SE_PRE_PARTN",8,"Albania",2009,"73.5052","2009","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",6,"ALB","AL","Albania"
"17","4.2.2","SE_PRE_PARTN",8,"Albania",2010,"74.63991","2010","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",6,"ALB","AL","Albania"
"18","4.2.2","SE_PRE_PARTN",8,"Albania",2010,"73.74577","2010","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",6,"ALB","AL","Albania"
"19","4.2.2","SE_PRE_PARTN",8,"Albania",2010,"74.16339","2010","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",6,"ALB","AL","Albania"
"20","4.2.2","SE_PRE_PARTN",8,"Albania",2011,"77.75655","2011","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",6,"ALB","AL","Albania"
"21","4.2.2","SE_PRE_PARTN",8,"Albania",2011,"80.18825","2011","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",6,"ALB","AL","Albania"
"22","4.2.2","SE_PRE_PARTN",8,"Albania",2011,"78.8836","2011","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",6,"ALB","AL","Albania"
"23","4.2.2","SE_PRE_PARTN",8,"Albania",2012,"86.35106","2012","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",6,"ALB","AL","Albania"
"24","4.2.2","SE_PRE_PARTN",8,"Albania",2012,"83.7272","2012","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",6,"ALB","AL","Albania"
"25","4.2.2","SE_PRE_PARTN",8,"Albania",2012,"84.94154","2012","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",6,"ALB","AL","Albania"
"26","4.2.2","SE_PRE_PARTN",8,"Albania",2015,"88.12827","2015","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",6,"ALB","AL","Albania"
"27","4.2.2","SE_PRE_PARTN",8,"Albania",2015,"86.46084","2015","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",6,"ALB","AL","Albania"
"28","4.2.2","SE_PRE_PARTN",8,"Albania",2015,"90.04306","2015","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",6,"ALB","AL","Albania"
"29","4.2.2","SE_PRE_PARTN",12,"Algeria",2003,"8.56741","2003","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",65,"DZA","DZ","Algeria"
"30","4.2.2","SE_PRE_PARTN",12,"Algeria",2003,"8.63119","2003","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",65,"DZA","DZ","Algeria"
"31","4.2.2","SE_PRE_PARTN",12,"Algeria",2003,"8.69229","2003","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",65,"DZA","DZ","Algeria"
"32","4.2.2","SE_PRE_PARTN",12,"Algeria",2004,"11.26857","2004","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",65,"DZA","DZ","Algeria"
"33","4.2.2","SE_PRE_PARTN",12,"Algeria",2004,"11.22297","2004","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",65,"DZA","DZ","Algeria"
"34","4.2.2","SE_PRE_PARTN",12,"Algeria",2004,"11.31619","2004","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",65,"DZA","DZ","Algeria"
"35","4.2.2","SE_PRE_PARTN",12,"Algeria",2005,"12.85304","2005","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",65,"DZA","DZ","Algeria"
"36","4.2.2","SE_PRE_PARTN",12,"Algeria",2005,"13.73974","2005","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",65,"DZA","DZ","Algeria"
"37","4.2.2","SE_PRE_PARTN",12,"Algeria",2005,"13.30605","2005","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",65,"DZA","DZ","Algeria"
"38","4.2.2","SE_PRE_PARTN",12,"Algeria",2006,"34.1423","2006","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",65,"DZA","DZ","Algeria"
