"","Indicator","SeriesCode","GeoAreaCode","GeoAreaName","TimePeriod","Value","Time_Detail","Source","FootNote","Nature","Units","Age","Location","Nature.1","Reporting.Type","Sex","Type.of.product","Units.1","NUM_id","ISO3CD","ISO2CD","ref.name"
"1","13.1.1","VC_DSR_DAFF",4,"Afghanistan",2017,"69","2017","United Nations Office for Disaster Risk Reduction (2019)","Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).",NA,"PER_100000_POP","","",NA,"G","","","PER_100000_POP",2,"AFG","AF","Afghanistan"
"2","13.1.1","VC_DSR_DAFF",8,"Albania",2005,"986","2005","United Nations Office for Disaster Risk Reduction (2019)","Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).",NA,"PER_100000_POP","","",NA,"G","","","PER_100000_POP",6,"ALB","AL","Albania"
"3","13.1.1","VC_DSR_DAFF",8,"Albania",2006,"59","2006","United Nations Office for Disaster Risk Reduction (2019)","Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).",NA,"PER_100000_POP","","",NA,"G","","","PER_100000_POP",6,"ALB","AL","Albania"
"4","13.1.1","VC_DSR_DAFF",8,"Albania",2007,"79","2007","United Nations Office for Disaster Risk Reduction (2019)","Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).",NA,"PER_100000_POP","","",NA,"G","","","PER_100000_POP",6,"ALB","AL","Albania"
"5","13.1.1","VC_DSR_DAFF",8,"Albania",2008,"63","2008","United Nations Office for Disaster Risk Reduction (2019)","Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).",NA,"PER_100000_POP","","",NA,"G","","","PER_100000_POP",6,"ALB","AL","Albania"
"6","13.1.1","VC_DSR_DAFF",8,"Albania",2009,"375","2009","United Nations Office for Disaster Risk Reduction (2019)","Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).",NA,"PER_100000_POP","","",NA,"G","","","PER_100000_POP",6,"ALB","AL","Albania"
"7","13.1.1","VC_DSR_DAFF",8,"Albania",2010,"3177","2010","United Nations Office for Disaster Risk Reduction (2019)","Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).",NA,"PER_100000_POP","","",NA,"G","","","PER_100000_POP",6,"ALB","AL","Albania"
"8","13.1.1","VC_DSR_DAFF",8,"Albania",2011,"185","2011","United Nations Office for Disaster Risk Reduction (2019)","Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).",NA,"PER_100000_POP","","",NA,"G","","","PER_100000_POP",6,"ALB","AL","Albania"
"9","13.1.1","VC_DSR_DAFF",8,"Albania",2012,"232","2012","United Nations Office for Disaster Risk Reduction (2019)","Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).",NA,"PER_100000_POP","","",NA,"G","","","PER_100000_POP",6,"ALB","AL","Albania"
"10","13.1.1","VC_DSR_DAFF",8,"Albania",2013,"565","2013","United Nations Office for Disaster Risk Reduction (2019)","Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).",NA,"PER_100000_POP","","",NA,"G","","","PER_100000_POP",6,"ALB","AL","Albania"
